Unnamed: 0,radio,MCC,MNC,TAC,CID,unit,LON,LAT,RANGE,SAM,changeable,created,updated,averageSignal,Country,Network,Continent
12848117,UMTS,602,3,32081,13684820,0,30.89973449707,28.817825317383,1000,1,1,1353862470,1353862470,0,Egypt,Etisalat,Africa
12848118,UMTS,602,3,32081,13684821,0,30.897446,28.813705,1000,9,1,1353862539,1353862539,0,Egypt,Etisalat,Africa
12848119,UMTS,602,3,32081,13682229,0,30.877138,28.768776,4691,53,1,1353862911,1353862911,0,Egypt,Etisalat,Africa
12848120,UMTS,602,3,32081,13686360,0,30.883941,28.783905,1684,10,1,1353862736,1353862736,0,Egypt,Etisalat,Africa
12848121,UMTS,602,3,32081,13682231,0,30.858483,28.713508,2030,26,1,1353863072,1353863072,0,Egypt,Etisalat,Africa
12848122,UMTS,602,3,32081,13689319,0,30.854141,28.692581,1000,10,1,1353863114,1353863114,0,Egypt,Etisalat,Africa
12848123,GSM,602,3,32081,59654,0,30.851669311523,28.684616088867,1000,1,1,1353863120,1353863120,0,Egypt,Etisalat,Africa
12848124,GSM,602,3,22323,59653,0,30.839506,28.660878,1000,7,1,1353863261,1353863261,0,Egypt,Etisalat,Africa
12848125,UMTS,602,3,32081,13683211,0,30.826378,28.633003,2403,12,1,1353863487,1353863487,0,Egypt,Etisalat,Africa
12848126,UMTS,602,3,32081,13687711,0,30.82695,28.641186,1000,8,1,1353863373,1353863373,0,Egypt,Etisalat,Africa
12848127,UMTS,602,3,32081,13682990,0,30.825119,28.626938,1000,3,1,1353863423,1353863423,0,Egypt,Etisalat,Africa
12848128,GSM,602,3,32081,54203,0,30.824203491211,28.62419128418,1000,1,1,1353863429,1353863429,0,Egypt,Etisalat,Africa
12848129,GSM,602,3,22323,54203,0,30.818939,28.607483,1928,12,1,1354105997,1362317989,0,Egypt,Etisalat,Africa
12848130,GSM,602,3,32081,55832,0,30.82145690918,28.610458374023,1000,1,1,1353863488,1353863488,0,Egypt,Etisalat,Africa
12848131,GSM,602,3,22323,55832,0,30.813217,28.608399,1000,2,1,1354105997,1362317929,0,Egypt,Etisalat,Africa
12848132,GSM,602,3,22323,54231,0,30.817337036133,28.595352172852,1000,1,1,1353863549,1353863549,0,Egypt,Etisalat,Africa
12848133,GSM,602,3,22322,54231,0,30.817337036133,28.593978881836,1000,1,1,1353863559,1353863559,0,Egypt,Etisalat,Africa
12848134,UMTS,602,3,32081,13682530,0,30.81459,28.582993,1000,3,1,1353863618,1353863618,0,Egypt,Etisalat,Africa
12848135,UMTS,602,3,32081,13682531,0,30.811752,28.56871,1489,15,1,1353863729,1353863729,0,Egypt,Etisalat,Africa
12848136,UMTS,602,3,32081,13688389,0,30.806808,28.547562,1513,15,1,1353863815,1353863815,0,Egypt,Etisalat,Africa
12848137,UMTS,602,3,32081,13688390,0,30.802505,28.527237,1000,10,1,1353863877,1353863877,0,Egypt,Etisalat,Africa
12848138,GSM,602,3,32081,53294,0,30.800857543945,28.519821166992,1000,1,1,1353863881,1353863881,0,Egypt,Etisalat,Africa
12848139,GSM,602,3,22322,53294,0,30.799484,28.506638,1472,5,1,1354106003,1471580372,0,Egypt,Etisalat,Africa
12848140,UMTS,602,3,32081,13684761,0,30.806077,28.496475,2394,5,1,1353864116,1353864116,0,Egypt,Etisalat,Africa
12848141,UMTS,602,3,32081,13684782,0,30.802689,28.503914,1000,12,1,1354106003,1365633414,0,Egypt,Etisalat,Africa
12848142,UMTS,602,3,32081,13684779,0,30.809647,28.485599,1613,25,1,1353864138,1353864138,0,Egypt,Etisalat,Africa
12848143,UMTS,602,3,32081,13683009,0,30.805503,28.443054,3293,60,1,1353864478,1353864478,0,Egypt,Etisalat,Africa
12848144,UMTS,602,3,32081,13683011,0,30.782318,28.406113,1454,20,1,1353864588,1353864588,0,Egypt,Etisalat,Africa
12848145,GSM,602,3,32081,51522,0,30.774765014648,28.39485168457,1000,1,1,1353864592,1353864592,0,Egypt,Etisalat,Africa
12848146,GSM,602,3,22152,51522,0,30.772018432617,28.389358520508,1000,1,1,1353864613,1353864613,0,Egypt,Etisalat,Africa
12848147,UMTS,602,3,32081,13684729,0,30.760345,28.37233,2145,20,1,1353864757,1353864757,0,Egypt,Etisalat,Africa
12848148,UMTS,602,3,32081,13684730,0,30.746841,28.353424,1000,6,1,1353864798,1353864798,0,Egypt,Etisalat,Africa
12848149,UMTS,602,3,32081,13684731,0,30.736771,28.348618,1000,6,1,1353864853,1353864853,0,Egypt,Etisalat,Africa
12848150,UMTS,602,3,32081,13689300,0,30.72052,28.341293,1000,2,1,1353864890,1353864890,0,Egypt,Etisalat,Africa
12848151,GSM,602,3,32081,50951,0,30.719833374023,28.341293334961,1000,1,1,1353864892,1353864892,0,Egypt,Etisalat,Africa
12848152,GSM,602,3,22152,50951,0,30.713882,28.337631,1000,3,1,1353864923,1353864923,0,Egypt,Etisalat,Africa
12848153,GSM,602,3,22152,57812,0,30.710907,28.33374,1000,4,1,1353864942,1353864942,0,Egypt,Etisalat,Africa
12848154,GSM,602,3,22152,53243,0,30.709534,28.32756,1000,2,1,1353864962,1353864962,0,Egypt,Etisalat,Africa
12848155,UMTS,602,3,32081,13690431,0,30.734939,28.271256,1063,4,1,1353865301,1353865301,0,Egypt,Etisalat,Africa
